id,name,type,program_id
367520,22.ОМ.Оторино,очная,13421
366790,22.ОМ.Офтальм,очная,14316
366927,22.ОМ.Педиат,очная,13402
366798,22.ОМ.Психиатрия,очная,13411
366476,22.ОМ.Рентген-1,очная,14247
366477,22.ОМ.Рентген-2,очная,14247
367383,22.ОМ.Терапия-1,очная,14245
367385,22.ОМ.Терапия-2,очная,14245
367384,22.ОМ.Терапия-3,очная,14245
367382,22.ОМ.Терапия-4,очная,14245
367343,22.ОМ.ТоракХир,очная,14246
365863,22.ОМ.ТравматОртоп-КВМТ,очная,12213
365864,22.ОМ.ТравмОртоп-1,очная,12213
367590,22.ОМ.Урология-1,очная,14249
367589,22.ОМ.Урология-КВМТ,очная,14249
366490,21.АМПД,очная,13398
365759,21.АФМ,очная,14296
365561,1-22,очная,13402
365560,2-22,очная,13402
365559,20.Б01-ФК,очная,13269
367401,21.Б01-нз,очная,14300
367400,21.Б02-нз,очная,14300
367050,20.Б01-нз,очная,14294
367051,20.Б02-нз,очная,14294
367155,21.Б09-нз,очная,13418
367156,21.Б10-нз,очная,13418
367154,21.Б11-нз,очная,13418
367007,20.Б09-нз,очная,14296
367005,20.Б10-нз,очная,14296
367006,20.Б11-нз,очная,14296
367581,22.Б03-нз,очная,13420
367578,21.Б03-нз,очная,14298
366274,20.Б03-нз,очная,13421
365745,22.Б08-нз,очная,13415
365944,21.Б08-нз,очная,13402
366139,20.Б08-нз,очная,14312
366116,22.Б04-нз,очная,14247
365658,21.Б04-нз,очная,13271
365926,20.Б04-нз,очная,14245
365669,22.Б12-нз,очная,13270
366110,21.Б12-нз,очная,12213
366094,20.Б12-нз,очная,12197
365780,22.Б07-нз,очная,12195
367393,21.Б07-нз,очная,14250
367091,22.ОМ.Хирургия-1,очная,14300
367092,22.ОМ.Хирургия-2,очная,14300
367131,20.Б07-нз,очная,14300
367093,22.ОМ.Хирургия-3,очная,14300
367095,22.ОМ.Хирургия-4,очная,14300
367094,22.ОМ.Хирургия-КВМТ,очная,14300
365871,21.АМН,очная,14295
367486,22.С01-м,очная,14297
367482,22.С02-м,очная,14297
367488,22.С03-м,очная,14297
367483,22.С04-м,очная,14297
367489,22.С05-м,очная,14297
367490,22.С06-м,очная,14297
367485,22.С07-м,очная,14297
367484,22.С08-м,очная,14297
367491,22.С09-м,очная,14297
367487,22.С10-м,очная,14297
367016,21.С01-м,очная,13420
367013,21.С02-м,очная,13420
367015,21.С03-м,очная,13420
367011,21.С04-м,очная,13420
367008,21.С05-м,очная,13420
367017,21.С06-м,очная,13420
367014,21.С07-м,очная,13420
367012,21.С08-м,очная,13420
367009,21.С09-м,очная,13420
367019,21.С10-м,очная,13420
367018,21.С11-м,очная,13420
367010,21.С12-м,очная,13420
365542,20.С01-м,очная,14298
365536,20.С02-м,очная,14298
365535,20.С03-м,очная,14298
365543,20.С04-м,очная,14298
365541,20.С05-м,очная,14298
365539,20.С06-м,очная,14298
365544,20.С07-м,очная,14298
365540,20.С08-м,очная,14298
365537,20.С09-м,очная,14298
365538,20.С10-м,очная,14298
367265,19.С01-м,очная,13421
367258,19.С02-м,очная,13421
367264,19.С03-м,очная,13421
367260,19.С04-м,очная,13421
367263,19.С05-м,очная,13421
367261,19.С06-м,очная,13421
367266,19.С07-м,очная,13421
367262,19.С08-м,очная,13421
367257,19.С09-м,очная,13421
367259,19.С10-м,очная,13421
366313,18.С01-м,очная,13446
366317,18.С02-м,очная,13446
366316,18.С03-м,очная,13446
366311,18.С04-м,очная,13446
366315,18.С05-м,очная,13446
366312,18.С06-м,очная,13446
366310,18.С07-м,очная,13446
366314,18.С08-м,очная,13446
365667,1-21,очная,14312
365666,2-21,очная,14312
365568,22.Б01-ФК,очная,13271
366485,21.Б01-ФК,очная,14245
366084,22.Б01-мо,очная,13273
